naics,name,baseline_tradable,corrected_tradable
322231,Die-Cut Paper and Paperboard Office Supplies Manufacturing,tradable,tradable
322232,Envelope Manufacturing,tradable,tradable
322233,"Stationery, Tablet, and Related Product Manufacturing",tradable,tradable
322291,Sanitary Paper Product Manufacturing,tradable,tradable
322299,All Other Converted Paper Product Manufacturing,tradable,tradable
323110,Commercial Lithographic Printing,non-tradable,non-tradable
323111,Commercial Gravure Printing,tradable,tradable
323112,Commercial Flexographic Printing,tradable,tradable
323113,Commercial Screen Printing,non-tradable,non-tradable
323114,Quick Printing,non-tradable,non-tradable
323115,Digital Printing,non-tradable,non-tradable
323116,Manifold Business Forms Printing,tradable,tradable
323117,Books Printing,tradable,tradable
323118,"Blankbook, Looseleaf Binders, and Devices Manufacturing",tradable,tradable
323119,Other Commercial Printing,non-tradable,non-tradable
323121,Tradebinding and Related Work,tradable,tradable
323122,Prepress Services,tradable,tradable
324110,Petroleum Refineries,tradable,tradable
324121,Asphalt Paving Mixture and Block Manufacturing,non-tradable,non-tradable
324122,Asphalt Shingle and Coating Materials Manufacturing,tradable,tradable
324191,Petroleum Lubricating Oil and Grease Manufacturing,tradable,tradable
324199,All Other Petroleum and Coal Products Manufacturing,tradable,tradable
325110,Petrochemical Manufacturing,tradable,tradable
325120,Industrial Gas Manufacturing,tradable,tradable
325131,Inorganic Dye and Pigment Manufacturing,tradable,tradable
325132,Synthetic Organic Dye and Pigment Manufacturing,tradable,tradable
325181,Alkalies and Chlorine Manufacturing,tradable,tradable
325182,Carbon Black Manufacturing,tradable,tradable
325188,All Other Basic Inorganic Chemical Manufacturing,tradable,tradable
325191,Gum and Wood Chemical Manufacturing,tradable,tradable
325192,Cyclic Crude and Intermediate Manufacturing,tradable,tradable
325193,Ethyl Alcohol Manufacturing,tradable,tradable
325199,All Other Basic Organic Chemical Manufacturing,tradable,tradable
325211,Plastics Material and Resin Manufacturing,tradable,tradable
325212,Synthetic Rubber Manufacturing,tradable,tradable
325221,Cellulosic Organic Fiber Manufacturing,tradable,tradable
325222,Noncellulosic Organic Fiber Manufacturing,tradable,tradable
325311,Nitrogenous Fertilizer Manufacturing,tradable,tradable
325312,Phosphatic Fertilizer Manufacturing,tradable,tradable
325314,Fertilizer (Mixing Only) Manufacturing,tradable,tradable
325320,Pesticide and Other Agricultural Chemical Manufacturing,tradable,tradable
325411,Medicinal and Botanical Manufacturing,tradable,tradable
325412,Pharmaceutical Preparation Manufacturing,tradable,tradable
325413,In-Vitro Diagnostic Substance Manufacturing,tradable,tradable
